-и	и:ROOT
-в	в:ROOT
-у	у:ROOT
-же	ж:ROOT/е:END
-до	д:ROOT/о:END
-со	с:ROOT/о:END
-потом	потом:ROOT
-перед	перед:ROOT
вид	вид:ROOT
-куда	куд:ROOT/а:END
-ж	ж:ROOT
-сегодня	сегодн:ROOT/я:END
далеко	далек:ROOT/о:SUFF
ребята	реб:ROOT/ят:SUFF/а:END
-ах	ах:ROOT
легко	легк:ROOT/о:SUFF
-завтра	завтр:ROOT/а:END
-б	б:ROOT
память	память:ROOT
сапог	сапог:ROOT
-родной	родн:ROOT/ой:END
программа	программ:ROOT/а:END
красота	крас:ROOT/от:SUFF/а:END
вино	вин:ROOT/о:END
стихи	стих:ROOT/и:END
-главное	главн:ROOT/ое:END
горе	гор:ROOT/е:END
ус	ус:ROOT
войска	войск:ROOT/а:END
прочее	проч:ROOT/ее:END
-спасибо	спасиб:ROOT/о:END
ружье	ружь:ROOT/е:END
будущее	буд:ROOT/ущ:SUFF/ее:END
мистер	мистер:ROOT
строка	строк:ROOT/а:END
лагерь	лагерь:ROOT
прошлое	про:PREF/ш:ROOT/л:SUFF/ое:END
забота	забот:ROOT/а:END
винтовка	винт:ROOT/ов:SUFF/к:SUFF/а:END
заря	зар:ROOT/я:END
белье	бель:ROOT/е:END
-пальто	пальт:ROOT/о:END
вина	вин:ROOT/а:END
флаг	флаг:ROOT
кино	кино:ROOT
-счастие	счаст:ROOT/и:SUFF/е:END
целое	цел:ROOT/ое:END
реализация	реал:ROOT/из:SUFF/аци:SUFF/я:END
разница	разн:ROOT/иц:SUFF/а:END
поручик	поруч:ROOT/ик:SUFF
величество	велич:ROOT/еств:SUFF/о:END
перчатка	перчатк:ROOT/а:END
копье	копь:ROOT/е:END
проведение	про:PREF/вед:ROOT/ени:SUFF/е:END
ботинок	бот:ROOT/ин:SUFF/ок:SUFF
чулок	чулок:ROOT
-ура	ур:ROOT/а:END
округ	округ:ROOT
размышление	раз:PREF/мышл:ROOT/ени:SUFF/е:END
-се	се:ROOT
валенок	вал:ROOT/енок:SUFF
багатур	багатур:ROOT
висок	висок:ROOT
кучка	куч:ROOT/к:SUFF/а:END
свод	с:PREF/вод:ROOT
козак	козак:ROOT
корточки	корточ:ROOT/к:SUFF/и:END
шорох	шорох:ROOT
радио	радио:ROOT
-шоссе	шосс:ROOT/е:END
-э	э:ROOT
заросли	за:PREF/рос:ROOT/л:SUFF/и:END
-родные	родн:ROOT/ые:SUFF
видение	вид:ROOT/ени:SUFF/е:END
визг	визг:ROOT
-несчастие	не:PREF/счаст:ROOT/и:SUFF/е:END
башмак	башмак:ROOT
житье	жи:ROOT/ть:END/е:END
вихрь	вихрь:ROOT
худо	худ:ROOT/о:SUFF
прокуратор	прокур:ROOT/атор:SUFF
визит	визит:ROOT
проверка	провер:ROOT/к:SUFF/а:END
погон	погон:ROOT
вожжа	вожж:ROOT/а:END
цыпочки	цып:ROOT/оч:SUFF/к:SUFF/и:END
проволока	про:PREF/волок:ROOT/а:END
-дак	дак:ROOT
здравоохранение	здрав:ROOT/о:LINK/о:PREF/хран:ROOT/ени:SUFF/е:END
леди	лед:ROOT/и:END
провод	про:PREF/вод:ROOT
очертание	о:PREF/черт:ROOT/а:SUFF/ни:SUFF/е:END
обезьяна	обезьян:ROOT/а:END
путник	пут:ROOT/ник:SUFF
веко	век:ROOT/о:END
туфля	туфл:ROOT/я:END
-ух	ух:ROOT
реализм	реал:ROOT/изм:SUFF
половец	полов:ROOT/ец:SUFF
рукавица	рук:ROOT/ав:SUFF/иц:SUFF/а:END
